Quarter,Country,Value
2024 Q1,USA,99.98
2024 Q2,USA,101.05
2024 Q3,USA,102.39
2024 Q4,USA,104.34
2025 Q1,USA,100.92
2025 Q2,USA,99.09
2025 Q3,USA,100.79
2025 Q4,USA,102.39
2026 Q1,USA,99.71
2026 Q2,USA,102.28
2026 Q3,USA,101.39
2026 Q4,USA,103.70
2024 Q1,China,148.12
2024 Q2,China,145.05
2024 Q3,China,143.43
2024 Q4,China,144.02
2025 Q1,China,140.75
2025 Q2,China,139.74
2025 Q3,China,137.05
2025 Q4,China,136.49
2026 Q1,China,133.98
2026 Q2,China,134.59
2026 Q3,China,133.10
2026 Q4,China,133.68
2024 Q1,Japan,121.05
2024 Q2,Japan,121.42
2024 Q3,Japan,121.55
2024 Q4,Japan,122.52
2025 Q1,Japan,123.62
2025 Q2,Japan,122.18
2025 Q3,Japan,121.25
2025 Q4,Japan,122.11
2026 Q1,Japan,122.45
2026 Q2,Japan,121.41
2026 Q3,Japan,122.98
2026 Q4,Japan,121.78
2024 Q1,Germany,111.19
2024 Q2,Germany,113.87
2024 Q3,Germany,115.99
2024 Q4,Germany,115.39
2025 Q1,Germany,118.28
2025 Q2,Germany,118.68
2025 Q3,Germany,121.42
2025 Q4,Germany,121.03
2026 Q1,Germany,124.23
2026 Q2,Germany,125.52
2026 Q3,Germany,123.76
2026 Q4,Germany,124.23
2024 Q1,India,128.81
2024 Q2,India,130.28
2024 Q3,India,129.07
2024 Q4,India,129.35
2025 Q1,India,129.53
2025 Q2,India,128.73
2025 Q3,India,130.32
2025 Q4,India,129.31
2026 Q1,India,127.99
2026 Q2,India,129.68
2026 Q3,India,128.96
2026 Q4,India,128.51
2024 Q1,UK,127.50
2024 Q2,UK,128.68
2024 Q3,UK,128.56
2024 Q4,UK,125.16
2025 Q1,UK,123.64
2025 Q2,UK,120.67
2025 Q3,UK,117.17
2025 Q4,UK,113.64
2026 Q1,UK,114.11
2026 Q2,UK,111.11
2026 Q3,UK,109.86
2026 Q4,UK,107.68
2024 Q1,France,143.32
2024 Q2,France,142.88
2024 Q3,France,142.53
2024 Q4,France,143.01
2025 Q1,France,142.64
2025 Q2,France,142.98
2025 Q3,France,143.41
2025 Q4,France,144.06
2026 Q1,France,144.75
2026 Q2,France,143.98
2026 Q3,France,143.98
2026 Q4,France,143.93
2024 Q1,Italy,105.30
2024 Q2,Italy,103.65
2024 Q3,Italy,102.44
2024 Q4,Italy,100.59
2025 Q1,Italy,99.71
2025 Q2,Italy,97.72
2025 Q3,Italy,95.20
2025 Q4,Italy,94.06
2026 Q1,Italy,92.19
2026 Q2,Italy,91.33
2026 Q3,Italy,90.70
2026 Q4,Italy,88.76
2024 Q1,Brazil,129.09
2024 Q2,Brazil,126.92
2024 Q3,Brazil,126.01
2024 Q4,Brazil,124.83
2025 Q1,Brazil,124.39
2025 Q2,Brazil,122.88
2025 Q3,Brazil,122.46
2025 Q4,Brazil,120.21
2026 Q1,Brazil,118.72
2026 Q2,Brazil,117.39
2026 Q3,Brazil,116.36
2026 Q4,Brazil,115.96
2024 Q1,Canada,117.67
2024 Q2,Canada,121.03
2024 Q3,Canada,123.69
2024 Q4,Canada,123.93
2025 Q1,Canada,125.92
2025 Q2,Canada,128.61
2025 Q3,Canada,132.53
2025 Q4,Canada,134.57
2026 Q1,Canada,135.56
2026 Q2,Canada,137.21
2026 Q3,Canada,137.98
2026 Q4,Canada,139.22
2024 Q1,Russia,129.01
2024 Q2,Russia,126.91
2024 Q3,Russia,123.65
2024 Q4,Russia,122.07
2025 Q1,Russia,120.92
2025 Q2,Russia,120.84
2025 Q3,Russia,120.32
2025 Q4,Russia,119.38
2026 Q1,Russia,118.89
2026 Q2,Russia,119.19
2026 Q3,Russia,115.52
2026 Q4,Russia,113.39
2024 Q1,South Korea,137.51
2024 Q2,South Korea,136.94
2024 Q3,South Korea,135.02
2024 Q4,South Korea,133.24
2025 Q1,South Korea,132.92
2025 Q2,South Korea,132.84
2025 Q3,South Korea,131.28
2025 Q4,South Korea,130.08
2026 Q1,South Korea,128.89
2026 Q2,South Korea,127.33
2026 Q3,South Korea,125.23
2026 Q4,South Korea,123.22
2024 Q1,Australia,101.74
2024 Q2,Australia,99.01
2024 Q3,Australia,101.20
2024 Q4,Australia,101.25
2025 Q1,Australia,99.16
2025 Q2,Australia,100.46
2025 Q3,Australia,98.05
2025 Q4,Australia,98.96
2026 Q1,Australia,98.18
2026 Q2,Australia,96.43
2026 Q3,Australia,97.16
2026 Q4,Australia,99.87
2024 Q1,Spain,108.59
2024 Q2,Spain,108.84
2024 Q3,Spain,105.92
2024 Q4,Spain,105.56
2025 Q1,Spain,100.66
2025 Q2,Spain,96.07
2025 Q3,Spain,94.08
2025 Q4,Spain,91.74
2026 Q1,Spain,86.83
2026 Q2,Spain,87.21
2026 Q3,Spain,83.85
2026 Q4,Spain,78.91
2024 Q1,Mexico,137.21
2024 Q2,Mexico,135.71
2024 Q3,Mexico,136.12
2024 Q4,Mexico,133.46
2025 Q1,Mexico,133.18
2025 Q2,Mexico,134.23
2025 Q3,Mexico,136.49
2025 Q4,Mexico,138.63
2026 Q1,Mexico,136.09
2026 Q2,Mexico,137.55
2026 Q3,Mexico,135.69
2026 Q4,Mexico,132.71
2024 Q1,Indonesia,124.26
2024 Q2,Indonesia,121.71
2024 Q3,Indonesia,118.54
2024 Q4,Indonesia,119.60
2025 Q1,Indonesia,123.09
2025 Q2,Indonesia,121.31
2025 Q3,Indonesia,123.81
2025 Q4,Indonesia,124.72
2026 Q1,Indonesia,122.45
2026 Q2,Indonesia,121.25
2026 Q3,Indonesia,118.43
2026 Q4,Indonesia,119.06
2024 Q1,Netherlands,142.68
2024 Q2,Netherlands,141.81
2024 Q3,Netherlands,140.35
2024 Q4,Netherlands,144.96
2025 Q1,Netherlands,147.46
2025 Q2,Netherlands,147.24
2025 Q3,Netherlands,145.20
2025 Q4,Netherlands,146.19
2026 Q1,Netherlands,150.77
2026 Q2,Netherlands,148.30
2026 Q3,Netherlands,146.82
2026 Q4,Netherlands,145.17
2024 Q1,Saudi Arabia,128.74
2024 Q2,Saudi Arabia,128.98
2024 Q3,Saudi Arabia,127.67
2024 Q4,Saudi Arabia,128.24
2025 Q1,Saudi Arabia,128.31
2025 Q2,Saudi Arabia,126.68
2025 Q3,Saudi Arabia,126.19
2025 Q4,Saudi Arabia,126.78
2026 Q1,Saudi Arabia,127.56
2026 Q2,Saudi Arabia,124.34
2026 Q3,Saudi Arabia,124.14
2026 Q4,Saudi Arabia,123.96
2024 Q1,Turkey,118.68
2024 Q2,Turkey,117.03
2024 Q3,Turkey,115.25
2024 Q4,Turkey,114.76
2025 Q1,Turkey,113.58
2025 Q2,Turkey,113.37
2025 Q3,Turkey,112.59
2025 Q4,Turkey,110.91
2026 Q1,Turkey,110.43
2026 Q2,Turkey,109.05
2026 Q3,Turkey,107.54
2026 Q4,Turkey,106.73
2024 Q1,Switzerland,114.19
2024 Q2,Switzerland,113.73
2024 Q3,Switzerland,117.15
2024 Q4,Switzerland,115.51
2025 Q1,Switzerland,113.65
2025 Q2,Switzerland,112.48
2025 Q3,Switzerland,115.87
2025 Q4,Switzerland,113.62
2026 Q1,Switzerland,117.59
2026 Q2,Switzerland,116.40
2026 Q3,Switzerland,113.49
2026 Q4,Switzerland,115.23
2024 Q1,Taiwan,141.68
2024 Q2,Taiwan,142.41
2024 Q3,Taiwan,141.41
2024 Q4,Taiwan,144.37
2025 Q1,Taiwan,142.65
2025 Q2,Taiwan,143.10
2025 Q3,Taiwan,146.16
2025 Q4,Taiwan,143.11
2026 Q1,Taiwan,143.22
2026 Q2,Taiwan,145.95
2026 Q3,Taiwan,145.18
2026 Q4,Taiwan,147.31
2024 Q1,Poland,136.68
2024 Q2,Poland,133.77
2024 Q3,Poland,134.64
2024 Q4,Poland,132.46
2025 Q1,Poland,131.50
2025 Q2,Poland,126.56
2025 Q3,Poland,127.61
2025 Q4,Poland,126.01
2026 Q1,Poland,124.26
2026 Q2,Poland,120.01
2026 Q3,Poland,114.54
2026 Q4,Poland,111.13
2024 Q1,Sweden,121.59
2024 Q2,Sweden,120.14
2024 Q3,Sweden,120.26
2024 Q4,Sweden,116.79
2025 Q1,Sweden,112.13
2025 Q2,Sweden,109.63
2025 Q3,Sweden,105.29
2025 Q4,Sweden,105.17
2026 Q1,Sweden,101.34
2026 Q2,Sweden,97.03
2026 Q3,Sweden,97.83
2026 Q4,Sweden,96.88
2024 Q1,Belgium,122.74
2024 Q2,Belgium,125.27
2024 Q3,Belgium,121.56
2024 Q4,Belgium,121.50
2025 Q1,Belgium,119.28
2025 Q2,Belgium,117.97
2025 Q3,Belgium,114.99
2025 Q4,Belgium,111.07
2026 Q1,Belgium,111.97
2026 Q2,Belgium,114.75
2026 Q3,Belgium,116.92
2026 Q4,Belgium,112.84
2024 Q1,Argentina,105.86
2024 Q2,Argentina,110.10
2024 Q3,Argentina,111.39
2024 Q4,Argentina,114.63
2025 Q1,Argentina,118.99
2025 Q2,Argentina,120.05
2025 Q3,Argentina,119.99
2025 Q4,Argentina,123.63
2026 Q1,Argentina,122.75
2026 Q2,Argentina,122.21
2026 Q3,Argentina,120.68
2026 Q4,Argentina,118.92
2024 Q1,Norway,127.87
2024 Q2,Norway,128.18
2024 Q3,Norway,127.28
2024 Q4,Norway,125.97
2025 Q1,Norway,126.78
2025 Q2,Norway,127.03
2025 Q3,Norway,125.28
2025 Q4,Norway,123.75
2026 Q1,Norway,123.47
2026 Q2,Norway,122.24
2026 Q3,Norway,124.46
2026 Q4,Norway,125.30
2024 Q1,Ireland,142.17
2024 Q2,Ireland,142.78
2024 Q3,Ireland,142.57
2024 Q4,Ireland,140.34
2025 Q1,Ireland,139.72
2025 Q2,Ireland,138.37
2025 Q3,Ireland,140.47
2025 Q4,Ireland,140.28
2026 Q1,Ireland,138.51
2026 Q2,Ireland,136.88
2026 Q3,Ireland,137.04
2026 Q4,Ireland,135.60
2024 Q1,Israel,124.08
2024 Q2,Israel,124.67
2024 Q3,Israel,123.56
2024 Q4,Israel,126.57
2025 Q1,Israel,124.93
2025 Q2,Israel,126.24
2025 Q3,Israel,127.63
2025 Q4,Israel,130.96
2026 Q1,Israel,132.68
2026 Q2,Israel,130.13
2026 Q3,Israel,130.46
2026 Q4,Israel,133.62
2024 Q1,Thailand,110.23
2024 Q2,Thailand,111.08
2024 Q3,Thailand,112.63
2024 Q4,Thailand,111.55
2025 Q1,Thailand,109.24
2025 Q2,Thailand,110.46
2025 Q3,Thailand,107.32
2025 Q4,Thailand,108.17
2026 Q1,Thailand,105.97
2026 Q2,Thailand,104.05
2026 Q3,Thailand,101.40
2026 Q4,Thailand,101.16
2024 Q1,Nigeria,142.76
2024 Q2,Nigeria,144.06
2024 Q3,Nigeria,144.23
2024 Q4,Nigeria,145.00
2025 Q1,Nigeria,146.08
2025 Q2,Nigeria,146.49
2025 Q3,Nigeria,146.75
2025 Q4,Nigeria,147.42
2026 Q1,Nigeria,147.01
2026 Q2,Nigeria,147.10
2026 Q3,Nigeria,146.64
2026 Q4,Nigeria,147.94
2024 Q1,Austria,111.63
2024 Q2,Austria,112.83
2024 Q3,Austria,115.81
2024 Q4,Austria,118.20
2025 Q1,Austria,119.01
2025 Q2,Austria,122.55
2025 Q3,Austria,123.82
2025 Q4,Austria,126.54
2026 Q1,Austria,126.78
2026 Q2,Austria,126.53
2026 Q3,Austria,127.48
2026 Q4,Austria,131.25
2024 Q1,Malaysia,143.02
2024 Q2,Malaysia,143.45
2024 Q3,Malaysia,143.07
2024 Q4,Malaysia,143.03
2025 Q1,Malaysia,143.61
2025 Q2,Malaysia,144.94
2025 Q3,Malaysia,143.13
2025 Q4,Malaysia,141.42
2026 Q1,Malaysia,142.50
2026 Q2,Malaysia,141.45
2026 Q3,Malaysia,142.43
2026 Q4,Malaysia,141.45
2024 Q1,Denmark,141.69
2024 Q2,Denmark,140.11
2024 Q3,Denmark,138.62
2024 Q4,Denmark,137.89
2025 Q1,Denmark,136.87
2025 Q2,Denmark,136.54
2025 Q3,Denmark,133.97
2025 Q4,Denmark,131.39
2026 Q1,Denmark,129.51
2026 Q2,Denmark,127.03
2026 Q3,Denmark,125.35
2026 Q4,Denmark,124.79
2024 Q1,Philippines,130.91
2024 Q2,Philippines,129.12
2024 Q3,Philippines,128.50
2024 Q4,Philippines,125.41
2025 Q1,Philippines,126.89
2025 Q2,Philippines,127.13
2025 Q3,Philippines,125.31
2025 Q4,Philippines,122.04
2026 Q1,Philippines,122.01
2026 Q2,Philippines,123.62
2026 Q3,Philippines,120.76
2026 Q4,Philippines,121.99
2024 Q1,Vietnam,113.89
2024 Q2,Vietnam,110.93
2024 Q3,Vietnam,110.05
2024 Q4,Vietnam,106.93
2025 Q1,Vietnam,106.32
2025 Q2,Vietnam,105.95
2025 Q3,Vietnam,102.63
2025 Q4,Vietnam,99.20
2026 Q1,Vietnam,96.02
2026 Q2,Vietnam,94.32
2026 Q3,Vietnam,91.83
2026 Q4,Vietnam,90.23
2024 Q1,Bangladesh,135.29
2024 Q2,Bangladesh,136.58
2024 Q3,Bangladesh,136.04
2024 Q4,Bangladesh,136.93
2025 Q1,Bangladesh,138.10
2025 Q2,Bangladesh,137.26
2025 Q3,Bangladesh,138.67
2025 Q4,Bangladesh,137.90
2026 Q1,Bangladesh,138.05
2026 Q2,Bangladesh,136.49
2026 Q3,Bangladesh,137.62
2026 Q4,Bangladesh,139.16
2024 Q1,Colombia,125.53
2024 Q2,Colombia,124.49
2024 Q3,Colombia,123.94
2024 Q4,Colombia,127.38
2025 Q1,Colombia,127.19
2025 Q2,Colombia,126.63
2025 Q3,Colombia,126.40
2025 Q4,Colombia,122.37
2026 Q1,Colombia,122.66
2026 Q2,Colombia,119.15
2026 Q3,Colombia,119.92
2026 Q4,Colombia,116.60
2024 Q1,South Africa,128.15
2024 Q2,South Africa,129.00
2024 Q3,South Africa,131.38
2024 Q4,South Africa,131.36
2025 Q1,South Africa,135.07
2025 Q2,South Africa,136.34
2025 Q3,South Africa,137.32
2025 Q4,South Africa,137.85
2026 Q1,South Africa,141.93
2026 Q2,South Africa,144.07
2026 Q3,South Africa,146.88
2026 Q4,South Africa,148.35
2024 Q1,Chile,124.14
2024 Q2,Chile,125.05
2024 Q3,Chile,126.11
2024 Q4,Chile,126.80
2025 Q1,Chile,128.54
2025 Q2,Chile,128.92
2025 Q3,Chile,128.68
2025 Q4,Chile,128.87
2026 Q1,Chile,128.45
2026 Q2,Chile,127.63
2026 Q3,Chile,129.06
2026 Q4,Chile,128.74
2024 Q1,Finland,138.08
2024 Q2,Finland,138.49
2024 Q3,Finland,139.71
2024 Q4,Finland,142.38
2025 Q1,Finland,141.06
2025 Q2,Finland,144.27
2025 Q3,Finland,146.91
2025 Q4,Finland,149.46
2026 Q1,Finland,148.60
2026 Q2,Finland,152.22
2026 Q3,Finland,151.58
2026 Q4,Finland,150.25
